#ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_12110	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_12111	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12112	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_12113	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12114	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	Uncultured marine alveolate Group II DH148-EKD27
ASV_12115	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Glenodiniaceae	Hemidinium	Hemidinium nasutum
ASV_12116	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12117	Eukaryota	no_hit	unknown	Acantharea	Chaunacanthida	Gigartacontidae	Amphiacon	Amphiacon denticulatus
ASV_12118	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12119	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12120	Eukaryota	no_hit	unknown	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis acuminata
ASV_12121	Eukaryota	no_hit	unknown	Dinophyceae	Suessiales	unknown	Dactylodinium	Dactylodinium arachnoides
ASV_12122	Eukaryota	no_hit	unknown	Dinophyceae	Suessiales	unknown	Dactylodinium	Dactylodinium arachnoides
ASV_12123	Eukaryota	no_hit	unknown	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis acuminata
ASV_12124	Eukaryota	no_hit	Haptophyta	unknown	Coccolithales	Calcidiscaceae	Tergestiella	Tergestiella adriatica
ASV_12125	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_12126	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	Crustomastix	Crustomastix stigmatica
ASV_12127	Bacteria	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12128	Eukaryota	no_hit	unknown	Dinophyceae	Suessiales	unknown	Dactylodinium	Dactylodinium arachnoides
ASV_12129	Eukaryota	no_hit	Euglenozoa	Euglenida	Eutreptiales	unknown	Eutreptiella	Eutreptiella eupharyngea
ASV_12130	Eukaryota	no_hit	unknown	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	no_hit
ASV_12131	Eukaryota	no_hit	unknown	Dinophyceae	Suessiales	unknown	Dactylodinium	Dactylodinium arachnoides
ASV_12132	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_12133	Eukaryota	no_hit	unknown	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	no_hit
ASV_12134	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Harpacticoida	Ectinosomatidae	Microsetella	Microsetella rosea
ASV_12135	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Warnowiaceae	Erythropsidinium	no_hit
ASV_12136	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium rubrum
ASV_12137	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Kryptoperidiniaceae	Durinskia	Durinskia kwazulunatalensis
ASV_12138	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12139	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12140	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	Crustomastix	Crustomastix stigmatica
ASV_12141	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12142	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	no_hit
ASV_12143	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12144	Eukaryota	no_hit	unknown	unknown	Pirsoniales	no_hit	no_hit	no_hit
ASV_12145	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12146	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_12147	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12148	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12149	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	Dolichomastix tenuilepis
ASV_12150	Eukaryota	no_hit	Apicomplexa	Conoidasida	Eucoccidiorida	Adeleidae	Adelina	no_hit
ASV_12151	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12152	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	no_hit	no_hit	no_hit	no_hit
ASV_12153	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Ceratoperidiniaeceae	Kirithra	Kirithra sigma
ASV_12154	Eukaryota	Viridiplantae	Chlorophyta	Nephroselmidophyceae	Nephroselmidales	Nephroselmidaceae	Nephroselmis	no_hit
ASV_12155	Eukaryota	Fungi	Basidiomycota	Exobasidiomycetes	no_hit	no_hit	no_hit	no_hit
ASV_12156	Eukaryota	no_hit	Euglenozoa	unknown	Diplonemea	unknown	unknown	Diplonemida sp. 1sb RG-2016
ASV_12157	Eukaryota	no_hit	Cercozoa	unknown	Cercomonadida	Cercomonadidae	no_hit	no_hit
ASV_12158	Eukaryota	no_hit	Apicomplexa	Conoidasida	Eugregarinorida	Gregarinidae	unknown	Gregarinidae sp. from Paranemertes peregrina SR-2009a
ASV_12159	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12160	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_12161	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12162	Eukaryota	no_hit	unknown	Dinophyceae	Gonyaulacales	Amphidomataceae	Azadinium	Azadinium cuneatum
ASV_12163	Eukaryota	no_hit	Imbricatea	unknown	Thaumatomonadida	no_hit	no_hit	no_hit
ASV_12164	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_12165	Eukaryota	no_hit	Ciliophora	Colpodea	unknown	unknown	unknown	Uncultured marine colpodean ciliate DH147-EKD23
ASV_12166	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	no_hit
ASV_12167	Eukaryota	no_hit	Cercozoa	unknown	unknown	Massisteriidae	Massisteria	no_hit
ASV_12168	Eukaryota	Metazoa	Porifera	Demospongiae	no_hit	no_hit	no_hit	no_hit
ASV_12169	Eukaryota	no_hit	unknown	Dinophyceae	Suessiales	unknown	Dactylodinium	Dactylodinium arachnoides
ASV_12170	Eukaryota	no_hit	unknown	Dinophyceae	Suessiales	unknown	Dactylodinium	Dactylodinium arachnoides
ASV_12171	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12172	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_12173	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_12174	Eukaryota	no_hit	Euglenozoa	unknown	Diplonemea	no_hit	no_hit	no_hit
ASV_12175	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12176	Eukaryota	no_hit	Euglenozoa	unknown	Diplonemea	unknown	unknown	Diplonemida sp. 37 RG-2016
ASV_12177	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_12178	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12179	Eukaryota	no_hit	Euglenozoa	unknown	Diplonemea	no_hit	no_hit	no_hit
ASV_12180	Eukaryota	Fungi	Basidiomycota	Microbotryomycetes	unknown	unknown	Heitmania	no_hit
ASV_12181	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12182	Eukaryota	Viridiplantae	Chlorophyta	Nephroselmidophyceae	Nephroselmidales	Nephroselmidaceae	Nephroselmis	Nephroselmis astigmatica
ASV_12183	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_12184	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12185	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	Crustomastix	Crustomastix stigmatica
ASV_12186	Eukaryota	no_hit	unknown	Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis sp. subtype 3
ASV_12187	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_12188	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_12189	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12190	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	no_hit
ASV_12191	Eukaryota	no_hit	Oomycota	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12192	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12193	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12194	Eukaryota	Metazoa	Ctenophora	Tentaculata	Cydippida	Pleurobrachiidae	Hormiphora	no_hit
ASV_12195	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12196	Eukaryota	no_hit	unknown	Bigyra	Nanomonadea	unknown	Solenicola	no_hit
ASV_12197	Eukaryota	Metazoa	Mollusca	Cephalopoda	Teuthida	Loliginidae	Loligo	no_hit
ASV_12198	Eukaryota	no_hit	unknown	Dinophyceae	unknown	unknown	unknown	Dinophyta sp. NY011
ASV_12199	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_12200	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12201	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12202	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12203	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12204	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12205	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12206	Eukaryota	Viridiplantae	Chlorophyta	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12207	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12208	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Peridiniaceae	Pentapharsodinium	no_hit
ASV_12209	Eukaryota	no_hit	Euglenozoa	unknown	Diplonemea	unknown	unknown	Diplonemida sp. 21sb RG-2016
ASV_12210	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Podolampaceae	Lessardia	Lessardia elongata
ASV_12211	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium jinhaense
ASV_12212	Eukaryota	no_hit	Euglenozoa	unknown	Diplonemea	unknown	unknown	Diplonemida sp. 21sb RG-2016
ASV_12213	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Peridiniaceae	Scrippsiella	no_hit
ASV_12214	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Peridiniaceae	Scrippsiella	no_hit
ASV_12215	Eukaryota	no_hit	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	no_hit	no_hit
ASV_12216	Eukaryota	no_hit	Foraminifera	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12217	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12218	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12219	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12220	Eukaryota	no_hit	Endomyxa	unknown	Vampyrellida	Vampyrellidae	no_hit	no_hit
ASV_12221	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12222	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12223	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12224	Eukaryota	no_hit	unknown	Bolidophyceae	Parmales	Triparmaceae	Triparma	Triparma pacifica
ASV_12225	Eukaryota	no_hit	Apicomplexa	Conoidasida	Eugregarinorida	Lecudinidae	Ancora	no_hit
ASV_12226	Eukaryota	no_hit	Oomycota	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12227	Eukaryota	Metazoa	Cnidaria	Myxozoa	Bivalvulida	Sphaeromyxidae	Sphaeromyxa	Sphaeromyxa longa
ASV_12228	Eukaryota	no_hit	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	no_hit
ASV_12229	Eukaryota	no_hit	Endomyxa	Ascetosporea	Haplosporida	Haplosporidiidae	Minchinia	Minchinia tapetis
ASV_12230	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_12231	Eukaryota	no_hit	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Hemidiscaceae	Actinocyclus	Actinocyclus curvatulus
ASV_12232	Eukaryota	no_hit	Apicomplexa	Conoidasida	Eucoccidiorida	unknown	unknown	Eucoccidiorida sp. Okushiri-2009
ASV_12233	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12234	Eukaryota	no_hit	unknown	Centroplasthelida	Pterocystida	Pterocystidae	Chlamydaster	Chlamydaster sterni
ASV_12235	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12236	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Islandinium	Islandinium tricingulatum
ASV_12237	Eukaryota	no_hit	Imbricatea	unknown	Thaumatomonadida	Thaumatomastigidae	Protaspis	Protaspis sp. CC-2009c
ASV_12238	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	no_hit
ASV_12239	Eukaryota	no_hit	unknown	Bigyra	Oblongichytrida	unknown	Oblongichytrium	no_hit
ASV_12240	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_12241	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Ceratoperidiniaeceae	Kirithra	Kirithra sigma
ASV_12242	Eukaryota	no_hit	Imbricatea	unknown	Thaumatomonadida	Thaumatomastigidae	Protaspis	Protaspis sp. CC-2009c
ASV_12243	Eukaryota	no_hit	Imbricatea	unknown	Thaumatomonadida	Thaumatomastigidae	Protaspis	Protaspis sp. CC-2009c
