MiSeq_plate,MiSeq_input,MiSeq_filtered,MiSeq_denoisedF,MiSeq_denoisedR,MiSeq_merged,MiSeq_nonchim,MiSeq_perc_pass_filter,AVITI_subsetted_plate,AVITI_subsetted_input,AVITI_subsetted_filtered,AVITI_subsetted_denoisedF,AVITI_subsetted_denoisedR,AVITI_subsetted_merged,AVITI_subsetted_nonchim,AVITI_subsetted_perc_pass_filter,Order
FD33,83831,74541,73647,74029,71067,68463,81.66787942,FK33,83737,75018,74923,74913,74332,70900,84.6698592,33
FD34,73540,65530,64548,65133,62431,60076,81.69159641,FK34,73385,66470,66388,66351,65828,62663,85.38938475,34
FD35,112999,89562,89027,89155,87161,84035,74.36791476,FK35,112770,87344,87157,87236,86735,83096,73.68626408,35
FD36,86839,61744,61012,61312,59381,57822,66.58529002,FK36,86494,59194,59030,59063,58616,56732,65.59067681,36
FD37,83393,70262,69532,69759,67035,64445,77.27866847,FK37,83276,73132,73044,73027,72501,69032,82.89543206,37
FD38,103223,88674,87947,88232,85284,82493,79.9172665,FK38,103020,90397,90266,90263,89627,85744,83.23044069,38
FD39,93559,80251,79692,79853,77198,74668,79.80846311,FK39,93426,83124,83021,83018,82481,78989,84.54712821,39
FD40,118834,93126,91959,92200,88636,85415,71.87757712,FK40,118647,98954,98767,98774,98086,93731,78.99989043,40
FD41,100382,59491,58171,58773,55622,54072,53.866231,FK41,100130,60714,60515,60497,59863,57839,57.76390692,41
FD42,87515,77252,76686,76824,74517,71895,82.15163115,FK42,87337,79825,79677,79688,78891,75552,86.50629172,42
FD43,99566,84182,83176,83513,80714,77961,78.30082558,FK43,99443,86910,86731,86770,86074,82297,82.75796185,43
FD44,90133,72472,71911,71818,69852,68117,75.57387416,FK44,89957,75743,75571,75649,75190,72585,80.6885512,44
FD45,111713,90326,89809,89844,87934,85869,76.8657184,FK45,111417,93378,93167,93266,92838,90242,80.99482126,45
FD46,75558,53858,53227,53337,51235,49284,65.22671325,FK46,75496,49955,49830,49824,49276,46963,62.20594469,46
FD47,98305,81629,80964,81008,77876,74974,76.26672092,FK47,98123,84376,84155,84225,83364,79608,81.1308256,47
FD48,94476,83088,82430,82660,80658,77703,82.24628477,FK48,94336,85584,85436,85484,84623,80638,85.47956242,48
FD49,84543,65207,64355,64819,62753,61144,72.32295991,FK49,84509,67471,67355,67368,66978,64720,76.58355915,49
FD50,92423,61736,60471,61191,58343,56588,61.22718371,FK50,92235,63824,63701,63677,63318,60879,66.00422833,50
FD51,109925,84779,83877,84153,81841,80040,72.81328178,FK51,109604,78632,78431,78499,77987,75839,69.19364257,51
FD52,92947,82016,80965,81263,76972,74517,80.17149558,FK52,92841,85109,84964,84965,84295,80903,87.1414569,52
