ASV	14223c01_05c_eDNA	14223c01_07c_eDNA	14223c01_06c_eDNA	14223c01_10c_eDNA	14223c01_04c_eDNA	14223c01_09c_eDNA	14223c01_02c_eDNA	14223c01_01c_eDNA	14223c01_03c_eDNA	14223c01_12c_eDNA	14223c01_08c_eDNA	25424c01_12c_eDNA	25424c01_10c_eDNA	25424c01_09c_eDNA	25424c01_06c_eDNA	25424c01_03c_eDNA	25424c02_12c_eDNA	25424c02_10c_eDNA	25424c02_09c_eDNA	25424c02_06c_eDNA	25424c02_03c_eDNA	25424c03_12c_eDNA	25424c03_10c_eDNA	25424c03_09c_eDNA	25424c03_06c_eDNA	25424c03_03c_eDNA	22624c01_12c_eDNA	22624c01_10c_eDNA	22624c01_09c_eDNA	22624c01_06c_eDNA	22624c01_03c_eDNA	22624c02_12c_eDNA	22624c02_10c_eDNA	22624c02_09c_eDNA	22624c02_06c_eDNA	22624c02_03c_eDNA	22624c03_12c_eDNA	22624c03_10c_eDNA	22624c03_09c_eDNA	22624c03_06c_eDNA	22624c03_03c_eDNA	20524c02_12c_eDNA	20524c02_10c_eDNA	20524c02_09c_eDNA	20524c02_06c_eDNA	20524c02_03c_eDNA	20524c01_12c_eDNA	20524c01_10c_eDNA	20524c01_09c_eDNA	20524c01_06c_eDNA	20524c01_03c_eDNA	20524c03_12c_eDNA	20524c03_10c_eDNA	20524c03_09c_eDNA	20524c03_06c_eDNA	20524c03_03c_eDNA	17024c03_03c_eDNA	17024c03_06c_eDNA	17024c03_09c_eDNA	17024c03_10c_eDNA	17024c03_12c_eDNA	17024c02_03c_eDNA	17024c02_06c_eDNA	17024c02_09c_eDNA	17024c02_10c_eDNA	17024c02_12c_eDNA	17024c01_03c_eDNA	17024c01_06c_eDNA	17024c01_09c_eDNA	17024c01_10c_eDNA	17024c01_12c_eDNA	CN24F150mMV2_SC42	CN24F150mMV2_SC43	CN24F150mMV2_SC44	CN24F150mMV2_SC45	CN24F150mMV2_SC46	CN24F150mMV2_SC47	CN24F150mMV2_SC48	CN24F150mMV2_SC49	CN24F150mMV2_SC50	CN24F150mMV2_SC51	CN24F150mMV2_SC52	CN24F150mMV2_SC53	CN24F150mMV2_SC54	CN24F150mMV2_SC55	CN24F150mMV2_SC56	CN24F150mMV2_SC57	CN24F150mMV2_SC58	CN24F150mMV2_SC59	CN24F150mMV2_preblank	CN24F150mMV2_postblank	CN_MBTS_Dual_extraction_P1_DNA_EB	pcrblank1	pcrblank2	Art_Comm_FWAQ
ASV_167	136	173	129	4	67	140	68	62	53	0	65	0	5	27	25	143	0	0	8	16	10	0	8	1	22	7	1	26	57	100	81	5	5	14	27	14	23	11	10	32	36	27	41	91	72	159	1	10	28	9	59	4	20	16	36	48	27	14	8	17	32	170	181	181	306	342	275	199	73	38	19	15	12	28	43	40	24	31	19	45	30	40	32	26	30	40	34	40	28	0	0	0	0	0	0
ASV_168	0	0	0	21	0	0	3	0	0	23	0	234	8	0	0	0	222	52	12	0	0	625	7	0	9	0	361	11	0	24	0	217	323	385	0	0	248	36	30	0	0	154	7	0	0	0	230	74	0	1	14	185	193	29	0	5	0	0	39	88	224	0	0	6	26	181	0	0	3	2	153	9	11	15	28	4	0	9	25	3	1	4	17	15	9	10	0	4	22	0	0	0	0	0	0
ASV_169	0	0	1	0	3	108	3	2	0	0	22	0	4	0	10	0	0	0	3	5	1	0	3	42	4	0	0	36	243	18	3	0	0	4	440	41	1	0	0	670	15	0	0	11	20	26	0	0	2	0	0	0	0	0	5	0	7	549	0	0	0	2	79	30	20	2	12	63	36	5	0	80	127	63	157	151	94	106	72	99	143	72	151	104	97	115	127	113	163	0	0	0	0	0	0
ASV_170	4	48	7	0	3	0	2	13	0	0	6	0	0	0	201	210	0	0	2	23	401	0	2	1	78	23	0	0	3	20	16	0	0	0	8	0	0	0	0	6	20	0	0	0	9	5	0	0	0	4	13	0	0	0	8	13	88	0	0	0	0	35	6	0	0	0	16	17	4	0	0	146	164	149	200	213	109	146	159	158	232	138	237	141	211	216	199	206	235	0	0	0	0	0	0
ASV_171	0	0	0	0	0	0	0	0	0	6	0	9	2	4	0	0	78	0	2	0	0	144	2	0	5	0	4	0	0	14	0	72	3	5	0	0	7	45	4	0	0	12	5	0	2	0	225	18	2	0	0	0	8	0	0	0	0	0	7	4	92	0	0	11	9	31	0	0	3	10	3608	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_172	0	0	0	0	0	0	1	0	0	1	0	8	0	0	0	0	3	0	0	0	0	1211	65	0	1	0	713	58	22	44	0	370	168	234	0	25	422	16	6	0	0	15	0	0	0	0	634	3	0	0	0	285	10	11	0	0	0	0	1	1	17	0	0	0	0	77	0	0	0	0	61	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_173	196	117	156	0	180	10	135	16	69	0	48	0	0	0	54	225	0	0	0	5	29	0	0	0	9	11	0	46	71	162	374	0	0	0	20	23	0	0	0	13	70	0	3	8	5	90	0	0	0	65	35	0	0	0	27	20	35	104	0	0	0	84	39	3	6	0	364	89	0	1	0	81	90	77	100	90	84	62	70	76	82	70	106	68	70	108	100	69	82	0	0	0	0	0	0
ASV_174	0	0	0	16	0	75	2	0	0	7	13	0	8	15	2	2	0	0	11	0	1	1	13	33	1	0	0	55	63	10	0	0	5	8	26	0	5	20	26	9	0	38	504	1157	391	101	2	33	426	82	1	7	27	140	776	1	2	16	3	6	15	0	7	12	2	9	5	10	135	103	8	0	4	1	0	0	0	1	1	0	0	0	7	2	4	2	11	0	1	0	0	0	0	0	0
ASV_175	0	0	0	113	0	0	1	0	0	60	0	8	0	172	22	0	85	66	16	0	0	154	252	28	6	0	25	0	54	9	9	184	115	33	0	0	42	106	123	0	0	28	0	8	12	0	4	9	49	0	0	28	85	41	0	0	0	3	167	177	186	0	3	591	496	365	0	0	74	36	394	0	0	0	0	0	0	0	0	0	0	0	37	0	1	0	0	0	0	0	0	0	0	0	0
ASV_176	1	0	0	3	0	3880	0	0	0	0	57	0	4	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	39	46	0	0	0	43	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	35	5	6	1	0	0	0	2	0	0	0	0	0	12	31	15	0	0	0	0	53	0	0	0	18	1	0	0	0	0	0	0	0
ASV_177	9	8	10	0	9	21	0	10	1	0	41	0	0	6	161	205	0	0	0	308	210	0	13	1	413	218	0	50	77	321	161	0	0	0	83	13	0	0	0	23	0	0	0	4	50	131	0	0	0	129	57	0	0	0	47	56	0	10	1	0	0	1	80	12	4	0	84	83	2	0	0	86	53	84	94	81	55	68	52	67	68	43	75	37	79	84	71	76	63	0	0	0	0	0	0
ASV_178	0	0	0	10	0	0	0	0	0	531	0	0	23	0	0	0	0	0	252	0	0	0	114	733	0	0	0	0	0	0	1	0	0	146	0	0	0	234	330	0	0	0	0	668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	985	0	0	0	0	0	0	228	0	0	91	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_179	2	4	3	40	0	13	11	3	2	42	3	155	41	53	24	25	126	126	21	20	6	30	24	23	23	1	149	132	47	21	4	47	85	129	6	2	52	59	62	7	20	138	170	65	13	24	50	155	127	6	3	43	90	128	25	6	2	14	21	35	27	12	4	17	13	104	11	14	8	26	160	68	49	53	70	84	51	57	53	51	54	56	76	58	61	69	77	66	86	0	44	0	0	0	0
ASV_180	12	0	0	2	0	0	0	0	0	106	0	26	170	35	9	1	17	44	22	0	0	31	5	8	2	0	2	2	0	0	0	3	2	16	1	13	0	6	9	0	2	120	67	55	2	1	144	30	19	0	8	65	61	19	8	0	21	0	20	39	32	0	12	61	111	459	0	0	18	1216	1156	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0
ASV_181	36	35	27	0	14	3	15	5	9	0	6	0	0	0	138	205	0	0	0	85	53	0	0	2	6	14	0	100	229	616	224	0	0	0	56	60	0	0	0	6	153	1	10	37	432	483	0	0	1	107	63	0	0	0	92	74	67	5	0	0	0	30	15	3	1	4	46	78	0	0	0	31	30	53	53	41	36	26	35	22	29	24	45	36	31	61	15	38	26	0	0	0	0	0	0
ASV_182	0	6	0	72	3	4	2	2	0	16	9	178	29	0	0	6	140	222	10	0	1	116	96	93	54	2	29	7	3	2	7	20	74	85	1	17	29	44	44	2	26	76	185	195	0	8	13	75	125	30	55	22	15	6	1	140	358	238	15	43	25	374	23	19	15	22	73	22	5	20	50	36	42	33	63	32	17	12	35	13	20	44	26	18	43	27	32	36	25	0	0	0	0	0	0
ASV_183	27	228	56	0	17	58	1	5	8	0	204	0	1	2	3	15	0	0	0	3	47	0	0	0	2	2	0	37	23	177	280	0	0	0	4	21	0	0	0	6	7	0	0	5	16	28	0	0	3	265	168	0	0	0	26	275	938	665	0	0	0	60	59	5	7	4	35	49	1	0	0	23	19	18	16	35	12	16	22	27	29	11	34	13	33	41	14	16	28	0	0	0	0	0	0
ASV_184	0	0	0	69	0	0	0	0	0	26	0	376	72	0	86	1	148	0	0	142	0	97	82	0	2	2	151	6	0	7	2	188	108	121	0	0	127	129	72	0	0	136	46	45	0	562	33	9	48	0	0	23	16	0	0	0	0	0	2	125	105	0	0	26	0	315	0	0	91	118	40	0	0	0	91	98	0	0	0	0	64	56	0	0	0	0	0	179	0	0	0	0	0	0	0
ASV_185	0	0	0	1	0	8	0	0	0	0	8	0	87	224	895	179	0	3	39	596	235	0	37	52	573	99	0	8	32	16	2	0	0	0	13	0	0	0	0	4	0	0	3	9	22	7	0	0	0	68	2	0	0	0	59	22	14	97	0	0	0	11	61	9	3	0	93	83	5	0	0	28	46	38	42	31	13	8	26	29	48	14	25	25	26	20	27	12	34	0	0	0	0	0	0
ASV_186	6	5	0	0	0	5	0	1	0	0	20	5	19	6	108	15	44	3	29	41	1	16	2	17	5	0	47	9	59	4	4	9	5	18	19	3	22	15	3	9	0	320	532	126	155	152	242	144	33	5	0	107	145	244	11	0	4	10	0	0	0	1	8	20	26	28	5	13	0	17	0	88	67	111	113	104	33	23	37	53	68	33	94	75	13	71	46	45	102	0	0	0	0	0	0
ASV_187	0	0	0	0	0	39	0	0	0	0	39	1	0	23	738	982	0	0	0	133	0	0	10	4	0	0	0	55	226	0	0	0	0	17	190	0	0	6	0	24	2	6	28	153	203	173	3	1	148	0	0	0	3	1	0	0	0	0	3	10	36	0	0	29	0	0	45	19	18	0	1	60	37	10	66	66	54	99	61	48	0	39	0	53	67	0	30	22	0	0	0	0	0	0	0
ASV_188	0	9	3	8	1	26	4	0	2	5	30	24	27	13	18	18	11	66	125	7	1	10	38	19	6	7	18	133	17	46	4	7	7	42	5	1	5	21	16	4	7	388	401	45	35	23	128	145	10	135	2	77	70	189	373	10	5	59	19	7	2	2	15	7	11	67	23	12	18	52	133	58	45	57	46	62	33	38	41	26	56	36	54	32	51	26	42	30	44	0	0	0	0	0	0
ASV_189	0	1	0	24	1	2	1	1	0	9	0	878	193	176	1	1	712	89	111	36	0	242	8	27	45	4	38	5	1	12	0	163	59	23	0	0	47	9	0	0	0	36	1	17	4	0	299	6	11	3	0	307	18	26	0	0	0	1	4	14	14	0	0	9	1	75	0	0	2	92	166	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_190	5	21	13	61	15	3	30	18	12	113	16	118	58	5	9	85	172	33	12	4	6	216	11	15	52	8	232	14	0	42	60	38	117	80	7	2	92	112	117	15	26	29	14	11	0	13	47	8	6	27	8	34	10	13	34	21	22	14	23	54	72	17	2	2	31	227	78	2	29	152	620	4	17	12	23	26	7	17	29	14	14	11	20	21	9	23	17	29	30	0	0	0	0	0	0
ASV_191	1056	283	213	0	454	14	67	132	91	2	46	0	0	0	1	12	0	0	0	2	28	2	14	14	192	100	0	3	4	6	29	0	3	0	53	127	1	0	0	35	267	0	0	0	3	0	0	0	1	25	24	0	0	0	15	107	432	4	0	0	0	55	0	0	0	0	10	0	0	0	0	2	0	3	3	5	10	4	6	7	0	0	4	2	1	2	7	2	15	2	0	0	0	0	0
ASV_192	0	0	0	6	0	0	0	0	0	53	0	183	1071	221	0	0	171	125	224	0	0	523	0	0	22	1	362	20	0	22	0	24	58	11	0	0	62	6	2	0	0	298	85	0	0	0	19	55	12	0	0	15	79	13	0	0	0	0	1	6	35	0	0	0	7	3	0	0	48	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_193	30	42	20	124	19	93	19	39	35	87	30	0	42	19	22	44	103	59	39	8	54	9	21	12	70	64	0	54	28	94	53	1	15	4	39	15	0	54	80	117	28	0	18	6	52	84	0	16	7	99	33	0	11	12	46	65	27	26	76	27	5	19	41	77	27	12	53	10	11	67	1	31	48	86	82	94	87	41	78	57	85	51	113	66	34	129	96	69	129	0	0	0	0	0	0
ASV_194	1	0	0	17	0	21	0	3	0	11	1	2	54	76	66	54	3	14	146	21	7	6	78	407	21	0	1	62	46	4	6	2	13	22	14	0	14	68	38	2	0	8	101	202	59	45	0	83	1092	4	0	0	10	126	3	0	0	0	2	8	12	0	5	32	30	69	39	26	78	131	4	27	20	18	31	19	22	28	24	32	31	11	33	56	10	34	29	24	59	0	0	0	0	0	0
ASV_195	1	9	3	165	2	18	0	0	0	209	11	22	21	15	6	11	106	132	49	1	7	117	7	8	32	16	134	17	0	6	9	21	109	126	1	3	51	29	52	4	2	16	41	4	13	15	24	23	15	6	8	37	32	33	9	8	1	5	174	382	349	1	4	1	13	59	5	2	98	777	155	5	1	2	15	0	10	14	3	9	0	3	5	5	1	3	18	17	2	0	0	0	0	0	0
ASV_196	0	0	0	3	0	38	0	0	0	6	7	1	8	4	15	10	18	9	13	8	40	5	12	9	66	0	1	15	39	94	48	0	5	0	67	55	0	2	0	42	8	11	26	33	50	62	5	4	6	21	67	2	8	11	56	171	0	5	0	2	1	2	32	7	5	3	933	432	9	8	0	85	78	68	85	101	55	64	55	92	102	28	74	56	72	69	70	90	90	0	0	0	0	0	0
ASV_197	17	62	4	612	11	75	17	13	19	293	14	0	19	1	13	26	0	0	4	24	21	2	30	8	66	29	6	25	22	31	4	22	28	33	51	2	55	64	68	85	15	6	57	37	35	32	2	51	231	16	0	0	6	37	37	8	4	18	174	128	81	15	23	156	170	72	17	34	169	154	28	22	21	12	3	23	8	15	7	11	18	6	11	11	20	13	9	12	14	0	0	0	0	0	0
ASV_198	20	73	38	2	6	30	2	0	1	0	39	0	71	95	180	100	3	17	55	106	111	0	21	60	59	36	3	50	136	79	119	0	1	1	56	13	0	5	0	23	32	0	16	50	91	227	0	4	25	126	62	0	0	13	268	67	15	73	4	3	4	16	92	17	20	8	280	182	27	21	0	14	16	22	31	36	23	25	20	24	28	47	31	18	37	52	30	29	61	0	0	0	0	0	0
ASV_199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3852
ASV_200	0	3	0	0	0	0	0	0	0	0	0	4	292	90	25	2	18	121	225	0	0	8	13	60	6	0	0	3	8	0	0	2	31	4	0	0	4	4	20	0	0	0	2	5	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	190	102	169	81	148	95	101	152	151	148	182	260	170	158	188	219	105	0	0	0	0	0	0
ASV_201	0	8	3	0	0	10	1	0	0	2	49	90	2	5	6	21	46	2	3	9	28	58	6	1	22	7	19	3	2	15	48	39	13	20	20	16	18	21	15	25	10	10	6	3	10	13	13	0	1	35	6	20	2	1	27	11	10	9	4	2	6	1	6	5	1	52	24	0	18	14	46	229	173	142	200	166	116	100	145	126	145	60	185	139	188	163	141	149	151	0	0	0	0	0	0
ASV_202	61	86	88	0	99	11	30	32	19	0	9	0	0	6	7	92	0	0	0	25	14	0	5	0	3	25	2	21	26	51	70	6	6	8	45	16	7	7	12	25	30	3	9	18	45	138	0	0	2	12	57	0	3	2	0	21	37	12	40	43	65	132	387	108	208	120	551	428	69	64	3	3	7	17	14	15	5	9	10	5	14	22	12	9	2	15	10	12	14	0	0	0	0	0	0
ASV_203	0	0	1	0	0	0	0	0	0	0	0	367	0	0	0	2	21	0	3	0	0	50	0	0	1	0	622	51	5	36	0	398	196	166	0	0	135	45	19	4	1	44	0	0	0	0	256	0	0	5	2	756	23	4	0	8	0	0	10	34	39	0	1	0	56	143	2	2	2	26	97	2	4	5	5	7	2	7	4	8	3	0	2	2	3	1	11	0	4	0	0	0	0	0	0
ASV_204	12	12	14	0	6	41	17	3	9	0	21	0	0	4	66	66	0	0	0	259	37	0	9	3	248	19	0	39	114	268	78	0	0	1	91	33	0	0	0	29	15	4	7	13	118	154	0	0	9	73	57	0	0	0	90	87	2	49	0	2	0	25	148	30	10	9	131	272	7	5	0	57	59	57	66	80	12	34	55	43	44	27	62	42	43	47	46	40	58	0	0	0	0	0	0
ASV_205	298	37	135	0	397	10	908	781	473	0	11	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	80	0	0	0	0	28	23	5	16	13	9	0	8	0	20	5	12	19	0	6	0	0	34	0	0	0	0	0	0
ASV_206	0	3	0	419	0	3	1	0	0	226	2	3	242	124	4	27	0	12	72	14	20	56	112	78	0	0	0	10	9	26	4	45	90	28	112	2	134	117	224	14	2	17	14	5	0	1	19	30	26	1	0	6	8	8	0	0	0	13	424	243	418	0	3	22	48	42	6	0	20	75	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1293	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	566	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	7	6	1	5	4	6	12	8	5	1752	0	0	0	0	0	0	0	0	0	0	0
ASV_208	22	214	127	0	7	14	34	206	34	0	32	0	1	0	18	69	0	0	0	0	237	0	0	0	1	18	2	32	36	143	150	0	0	0	104	226	0	0	0	101	135	0	0	0	0	0	0	0	0	11	265	0	0	0	0	143	388	136	0	0	0	11	0	0	0	0	16	9	0	0	0	56	17	47	25	28	53	25	79	18	70	82	39	21	20	44	23	48	30	0	0	0	0	0	0
ASV_209	519	87	113	0	615	1	838	224	616	0	4	0	0	0	3	66	0	0	0	0	7	0	0	0	0	0	0	3	0	0	66	0	0	0	0	1	0	0	0	0	0	0	0	0	32	30	0	0	0	0	3	0	0	0	0	0	12	0	0	0	0	59	0	0	0	0	155	2	4	0	0	11	1	8	18	19	7	8	14	1	16	8	9	3	15	12	13	9	11	0	0	0	0	0	0
ASV_210	0	15	2	258	0	41	0	0	0	302	20	19	5	6	8	13	0	0	6	3	19	99	2	0	0	45	427	2	16	24	7	71	144	108	0	2	38	24	14	14	1	168	22	11	9	4	337	24	11	5	5	348	38	26	3	2	0	23	5	36	24	0	18	16	7	85	0	6	7	20	139	56	23	22	31	30	10	15	26	13	10	18	16	27	12	48	45	47	40	0	0	0	0	0	0
ASV_211	0	0	0	140	1	4	0	0	0	141	0	81	24	12	2	0	5	34	32	0	3	14	26	7	13	3	11	7	4	2	0	5	11	6	9	18	19	24	36	12	125	322	340	124	7	8	190	278	159	2	1	53	212	235	5	0	6	1	28	28	30	0	2	13	24	171	2	4	1	19	122	12	24	15	28	32	9	16	18	13	13	18	27	13	17	37	22	17	10	0	73	0	0	0	0
ASV_212	302	113	125	0	461	0	801	377	641	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	2	0	28	0	0	0	0	1	0	0	0	0	0	7	3	0	0	0	25	1	0	0	0	47	4	0	0	0	36	26	38	57	41	20	32	24	22	49	40	47	21	46	32	33	27	61	0	0	0	0	0	0
ASV_213	0	2	0	0	0	2	2	1	0	0	0	0	115	314	262	80	3	6	82	95	0	2	182	852	33	0	1	47	31	0	8	8	22	27	28	0	7	48	48	4	0	3	24	126	78	97	0	5	78	0	0	0	0	1	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	44	35	33	27	55	28	40	51	49	69	10	72	55	37	66	37	76	46	0	0	0	0	0	0
ASV_214	6	7	0	0	0	9	1	3	7	0	2	10	10	10	13	61	0	4	0	26	18	6	14	8	44	7	127	219	21	30	25	31	80	147	10	6	68	91	81	6	66	25	28	7	15	7	43	54	27	0	6	21	66	58	0	15	1	9	38	62	69	8	8	81	95	403	35	36	18	57	685	8	14	19	28	33	4	14	12	8	33	31	34	5	5	18	7	15	15	0	0	0	0	0	0
ASV_215	263	244	171	0	308	59	229	126	194	0	47	0	0	0	10	7	0	0	0	74	47	0	7	0	65	76	0	0	63	48	6	0	0	3	69	49	0	0	0	26	82	0	0	9	50	36	0	0	0	84	15	0	0	0	74	47	118	98	0	0	0	81	76	3	2	0	141	117	0	0	0	24	27	13	20	25	28	14	8	11	31	9	1	12	9	23	11	25	18	0	0	0	0	0	0
ASV_216	82	103	98	2	32	60	44	50	72	2	85	0	0	6	97	55	1	0	0	156	78	0	23	29	322	57	0	28	28	117	18	12	16	10	45	55	31	58	50	53	101	0	1	11	26	73	3	1	17	53	32	0	1	2	17	64	142	46	89	60	103	64	114	5	6	4	77	179	1	2	45	23	15	7	5	11	7	2	6	4	3	46	9	11	9	4	0	3	8	0	0	0	0	0	0
ASV_217	0	9	0	10	0	31	0	0	12	18	10	8	6	1	7	24	5	7	15	36	6	4	4	15	44	8	32	57	28	39	11	35	65	81	92	51	190	272	203	68	49	25	38	26	23	39	8	72	43	27	9	12	69	47	3	7	20	18	109	101	223	0	31	139	85	188	10	20	81	90	15	6	32	17	35	8	12	6	30	26	18	10	19	21	2	27	22	28	2	0	0	0	0	0	0
ASV_218	9	48	35	0	4	44	0	0	0	0	30	0	2	33	92	57	0	0	0	90	21	0	10	8	31	4	0	44	253	122	8	0	1	3	173	6	2	0	18	44	12	0	0	9	59	43	0	0	5	15	11	0	0	0	32	70	1	3	0	0	0	7	6	2	6	2	83	105	3	4	0	133	97	98	164	128	74	54	67	78	120	52	115	94	92	125	76	96	104	0	0	0	0	0	0
ASV_219	6	25	7	0	1	120	6	11	4	1	9	0	67	111	33	20	2	6	58	65	20	0	11	48	95	17	5	87	175	47	45	5	8	7	31	19	13	14	17	17	36	4	49	126	109	70	2	7	110	45	16	1	6	19	90	52	15	44	9	15	25	14	29	16	11	12	32	55	43	29	7	65	57	59	76	67	62	61	59	78	52	60	62	37	63	77	63	34	71	0	0	0	0	0	0
ASV_220	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	18	0	384	7	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	103	0	0	0	330	0	0	0	0	0	181	0	1	0	0	0	124	0	0	37	0	0	0	0	0	0	0	0	453	0	138	228	0	0	0	1	70	57	394	0	0	484	0	47	0	0	0	0	0	0
ASV_221	1	6	0	8	4	37	6	14	5	0	20	0	0	0	3	11	0	0	0	467	11	0	5	0	19	0	0	12	71	6	0	0	0	1	596	0	0	0	0	144	1	0	0	0	0	2	0	0	0	24	0	0	0	0	54	3	82	1293	4	0	1	32	115	10	12	4	254	51	6	3	24	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_222	98	175	105	6	74	27	45	226	79	0	66	0	0	0	2	12	0	0	0	14	243	0	5	1	15	79	0	10	14	149	50	0	0	0	31	151	0	0	0	39	323	0	0	0	3	7	0	0	0	65	163	0	0	0	47	301	245	84	0	0	0	79	13	0	0	0	43	14	0	0	0	24	9	38	24	8	11	5	15	8	17	15	39	14	13	24	14	11	28	0	0	0	0	0	0
ASV_223	1010	381	63	0	30	5	7	40	13	0	37	0	0	0	0	0	0	0	0	8	460	0	57	2	41	10	0	5	1	42	5	0	0	0	22	2	0	0	0	9	11	0	0	1	0	4	0	0	0	30	2	0	0	0	13	52	410	86	0	0	0	52	96	0	132	0	5	132	0	0	0	0	1	2	1	4	1	2	2	0	4	3	3	3	3	8	10	1	2	0	0	0	0	0	0
ASV_224	1	12	1	18	6	15	1	7	1	8	6	3	16	13	8	12	1	22	8	2	33	5	6	10	11	42	23	74	0	22	51	9	10	43	7	31	2	11	12	4	20	3	13	44	12	30	0	10	14	23	39	0	6	2	6	56	13	8	25	12	45	7	13	21	20	43	50	47	42	47	17	76	108	123	124	175	103	107	71	109	124	115	134	89	68	129	123	113	112	0	62	0	0	0	0
ASV_225	0	0	0	24	0	97	0	0	0	10	3	0	27	40	36	13	0	0	18	13	0	0	42	179	44	0	1	36	145	31	2	1	21	19	165	0	21	121	116	47	0	16	127	419	59	16	0	11	675	12	0	1	11	44	1	0	0	20	5	7	1	0	21	66	48	61	33	78	53	70	0	11	12	5	20	18	5	8	1	7	10	0	8	11	9	18	11	23	4	0	0	0	0	0	0
ASV_226	243	91	51	0	274	15	80	319	74	0	16	0	0	0	1	38	0	0	0	0	219	0	3	0	0	67	0	0	2	0	8	0	0	0	0	107	0	0	0	0	508	0	0	0	0	0	0	0	0	5	45	0	0	0	0	302	278	113	0	0	0	197	8	0	0	0	121	7	0	0	0	5	0	8	6	7	6	0	14	3	6	7	10	5	1	7	1	13	0	0	0	0	0	0	0
ASV_227	0	0	2	0	0	5	0	0	0	0	0	0	0	4	6	18	0	0	0	5	1	54	21	1	0	0	0	0	0	9	6	0	0	0	9	0	0	0	2	5	3	1	2	1	1	18	1	0	0	0	0	0	0	0	4	0	0	18	5	0	2	20	109	22	20	8	1070	1734	10	19	3	3	1	1	5	0	0	3	8	3	1	1	1	1	8	1	4	0	5	0	0	0	0	0	0
ASV_228	0	1	0	236	0	146	0	3	0	165	1	3	38	30	5	0	0	9	29	4	0	13	24	12	4	0	32	64	67	45	0	22	35	37	71	1	38	38	45	36	0	85	153	164	61	50	38	75	120	2	1	4	8	16	12	0	0	4	18	13	13	0	32	23	19	103	0	8	39	46	129	26	43	41	67	62	37	45	46	34	43	31	44	35	37	43	45	60	34	0	0	0	0	0	0
ASV_229	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	28	349	0	4	0	148	1363	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	48	11	0	0	0	37	12	3	5	0	0	0	0	2	0	2	0	0	2	0	0	0	50	42	37	49	72	391	40	30	40	63	42	49	34	37	75	47	54	61	0	0	0	0	0	0
ASV_230	11	7	6	0	101	0	610	2103	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
