ASV	14223c01_05c_eDNA	14223c01_07c_eDNA	14223c01_06c_eDNA	14223c01_10c_eDNA	14223c01_04c_eDNA	14223c01_09c_eDNA	14223c01_02c_eDNA	14223c01_01c_eDNA	14223c01_03c_eDNA	14223c01_12c_eDNA	14223c01_08c_eDNA	25424c01_12c_eDNA	25424c01_10c_eDNA	25424c01_09c_eDNA	25424c01_06c_eDNA	25424c01_03c_eDNA	25424c02_12c_eDNA	25424c02_10c_eDNA	25424c02_09c_eDNA	25424c02_06c_eDNA	25424c02_03c_eDNA	25424c03_12c_eDNA	25424c03_10c_eDNA	25424c03_09c_eDNA	25424c03_06c_eDNA	25424c03_03c_eDNA	22624c01_12c_eDNA	22624c01_10c_eDNA	22624c01_09c_eDNA	22624c01_06c_eDNA	22624c01_03c_eDNA	22624c02_12c_eDNA	22624c02_10c_eDNA	22624c02_09c_eDNA	22624c02_06c_eDNA	22624c02_03c_eDNA	22624c03_12c_eDNA	22624c03_10c_eDNA	22624c03_09c_eDNA	22624c03_06c_eDNA	22624c03_03c_eDNA	20524c02_12c_eDNA	20524c02_10c_eDNA	20524c02_09c_eDNA	20524c02_06c_eDNA	20524c02_03c_eDNA	20524c01_12c_eDNA	20524c01_10c_eDNA	20524c01_09c_eDNA	20524c01_06c_eDNA	20524c01_03c_eDNA	20524c03_12c_eDNA	20524c03_10c_eDNA	20524c03_09c_eDNA	20524c03_06c_eDNA	20524c03_03c_eDNA	17024c03_03c_eDNA	17024c03_06c_eDNA	17024c03_09c_eDNA	17024c03_10c_eDNA	17024c03_12c_eDNA	17024c02_03c_eDNA	17024c02_06c_eDNA	17024c02_09c_eDNA	17024c02_10c_eDNA	17024c02_12c_eDNA	17024c01_03c_eDNA	17024c01_06c_eDNA	17024c01_09c_eDNA	17024c01_10c_eDNA	17024c01_12c_eDNA	CN24F150mMV2_SC42	CN24F150mMV2_SC43	CN24F150mMV2_SC44	CN24F150mMV2_SC45	CN24F150mMV2_SC46	CN24F150mMV2_SC47	CN24F150mMV2_SC48	CN24F150mMV2_SC49	CN24F150mMV2_SC50	CN24F150mMV2_SC51	CN24F150mMV2_SC52	CN24F150mMV2_SC53	CN24F150mMV2_SC54	CN24F150mMV2_SC55	CN24F150mMV2_SC56	CN24F150mMV2_SC57	CN24F150mMV2_SC58	CN24F150mMV2_SC59	CN24F150mMV2_preblank	CN24F150mMV2_postblank	CN_MBTS_Dual_extraction_P1_DNA_EB	pcrblank1	pcrblank2	Art_Comm_FWAQ
ASV_2567	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	19	0	0	0	0	6	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	18	0	8	0	0	28	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2569	0	3	0	0	2	0	2	0	8	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	3	7	0	0	0	4	1	0	0	0	1	9	0	0	0	0	5	0	0	0	0	2	0	0	0	3	6	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	2	2	2	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_2570	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	21	0	1	0	11	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	8	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
ASV_2571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	7	0	0	0	11	10	0	0	11	4	0	0	0	0	0	0	0	0	1	0	0	0	0	2	5	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0
ASV_2572	13	2	3	0	7	3	17	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_2573	9	1	9	0	0	0	14	6	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	6	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_2574	1	5	2	0	18	0	3	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2575	1	0	7	0	0	1	5	8	5	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	7	1	0	0	0	0	3	0	0	0	2	3	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	1	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2576	0	11	1	0	2	1	4	2	1	1	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	12	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
