#ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_4514	Eukaryota	no_hit	unknown	Polycystinea	Collodaria	Sphaerozoidae	no_hit	no_hit
ASV_4515	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4516	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_4517	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_4518	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4519	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4520	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4521	Eukaryota	no_hit	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	no_hit
ASV_4522	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	Uncultured marine alveolate Group II DH148-EKD27
ASV_4523	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_4524	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_4525	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	Uncultured marine alveolate Group I DH144-EKD3
ASV_4526	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_4527	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_4528	Eukaryota	no_hit	unknown	Bolidophyceae	Parmales	Triparmaceae	Bolidomonas	Bolidomonas mediterranea
ASV_4529	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_4530	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4531	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Peridiniaceae	Pentapharsodinium	Pentapharsodinium tyrrhenicum
ASV_4532	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_4533	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_4534	Eukaryota	no_hit	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Neocalyptrella	Neocalyptrella robusta
ASV_4535	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4536	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_4537	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_4538	Eukaryota	no_hit	Apicomplexa	Conoidasida	Eugregarinorida	Lecudinidae	Ancora	Ancora sagittata
ASV_4539	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_4540	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4541	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4542	Eukaryota	no_hit	Oomycota	unknown	Lagenidiales	Haliphthoraceae	Haliphthoros	no_hit
ASV_4543	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Peridiniaceae	Leonella	Leonella granifera
ASV_4544	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_4545	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Peridiniaceae	Peridinium	no_hit
ASV_4546	Eukaryota	Metazoa	Nemertea	Palaeonemertea	unknown	Tubulanidae	Tubulanus	no_hit
ASV_4547	Eukaryota	no_hit	unknown	Bigyra	Bicosoecida	Bicosoecidae	Bicosoeca	Bicosoeca petiolata
ASV_4548	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_4549	Eukaryota	no_hit	unknown	Acantharea	no_hit	no_hit	no_hit	no_hit
ASV_4550	Eukaryota	no_hit	unknown	Polycystinea	no_hit	no_hit	no_hit	no_hit
ASV_4551	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_4552	Eukaryota	no_hit	Bacillariophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia	no_hit
ASV_4553	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_4554	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_4555	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_4556	Eukaryota	no_hit	unknown	Dictyochophyceae	Pedinellales	unknown	Pseudopedinella	Pseudopedinella elastica
ASV_4557	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_4558	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Pfiesteriaceae	no_hit	no_hit
ASV_4559	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_4560	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4561	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4562	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4563	Eukaryota	no_hit	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros tenuissimus
ASV_4564	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4565	Eukaryota	no_hit	unknown	Bigyra	Thraustochytrida	Thraustochytriaceae	Thraustochytrium	no_hit
ASV_4566	Eukaryota	no_hit	unknown	Dinophyceae	Coccidiniales	Chytriodiniaceae	Chytriodinium	Chytriodinium sp. Atlantic
ASV_4567	Eukaryota	no_hit	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	no_hit
ASV_4568	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	no_hit	no_hit	no_hit
ASV_4569	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_4570	Eukaryota	no_hit	unknown	unknown	Jakobida	no_hit	no_hit	no_hit
ASV_4571	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	eukaryote clone OLI11023
ASV_4572	Eukaryota	no_hit	Bacillariophyta	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4573	Eukaryota	no_hit	Euglenozoa	Euglenida	Petalomonadida	Scytomonadidae	Notosolenus	Notosolenus urceolatus
ASV_4574	Eukaryota	no_hit	unknown	Choanoflagellata	unknown	unknown	unknown	Choanoflagellida sp. SL163
ASV_4575	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4576	Eukaryota	Metazoa	Cnidaria	Anthozoa	Actiniaria	Halcampoididae	Halcampoides	no_hit
ASV_4577	Eukaryota	Metazoa	Chordata	Appendicularia	Copelata	Oikopleuridae	Oikopleura	Oikopleura dioica
ASV_4578	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_4579	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	no_hit	no_hit	no_hit
ASV_4580	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4581	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_4582	Eukaryota	no_hit	Ciliophora	Oligohymenophorea	Peniculida	Urocentridae	Urocentrum	no_hit
ASV_4583	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_4584	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_4585	Eukaryota	no_hit	unknown	Bigyra	Oblongichytrida	unknown	Oblongichytrium	no_hit
ASV_4586	Eukaryota	no_hit	Ciliophora	Spirotrichea	unknown	Strombidiidae	Spirostrombidium	Spirostrombidium faurefremieti
ASV_4587	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4588	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4589	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	no_hit
ASV_4590	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_4591	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_4592	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_4593	Eukaryota	no_hit	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	no_hit
ASV_4594	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_4595	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
